3	neutral
4	fun
3	neutral
0	social_support
3	neutral
1	conflict
3	neutral
3	neutral
0	social_support
3	neutral
3	neutral
0	social_support
3	neutral
3	neutral
3	neutral
8	similarity_identity
0	social_support
6	knowledge
0	social_support
6	knowledge
7	power
0	social_support
6	knowledge
1	conflict
3	neutral
3	neutral
3	neutral
3	neutral
6	knowledge
3	neutral
2	trust
5	respect
3	neutral
3	neutral
0	social_support
0	social_support
1	conflict
6	knowledge
6	knowledge
3	neutral
5	respect
1	conflict
3	neutral
0	social_support
4	fun
3	neutral
1	conflict
3	neutral
3	neutral
5	respect
3	neutral
1	conflict
6	knowledge
1	conflict
8	similarity_identity
3	neutral
4	fun
3	neutral
3	neutral
1	conflict
2	trust
0	social_support
3	neutral
3	neutral
5	respect
6	knowledge
3	neutral
3	neutral
5	respect
0	social_support
3	neutral
1	conflict
0	social_support
0	social_support
3	neutral
3	neutral
3	neutral
3	neutral
1	conflict
3	neutral
3	neutral
8	similarity_identity
1	conflict
3	neutral
0	social_support
1	conflict
4	fun
3	neutral
0	social_support
4	fun
0	social_support
6	knowledge
3	neutral
0	social_support
1	conflict
6	knowledge
6	knowledge
3	neutral
1	conflict
5	respect
3	neutral
6	knowledge
3	neutral
6	knowledge
3	neutral
8	similarity_identity
8	similarity_identity
1	conflict
3	neutral
3	neutral
3	neutral
3	neutral
1	conflict
1	conflict
3	neutral
8	similarity_identity
3	neutral
1	conflict
0	social_support
1	conflict
3	neutral
1	conflict
3	neutral
3	neutral
3	neutral
6	knowledge
5	respect
3	neutral
2	trust
3	neutral
3	neutral
4	fun
0	social_support
3	neutral
6	knowledge
0	social_support
3	neutral
3	neutral
3	neutral
1	conflict
3	neutral
1	conflict
3	neutral
1	conflict
6	knowledge
3	neutral
3	neutral
0	social_support
5	respect
5	respect
6	knowledge
8	similarity_identity
3	neutral
3	neutral
6	knowledge
3	neutral
3	neutral
0	social_support
5	respect
5	respect
0	social_support
3	neutral
6	knowledge
3	neutral
3	neutral
0	social_support
0	social_support
6	knowledge
5	respect
3	neutral
6	knowledge
1	conflict
8	similarity_identity
3	neutral
1	conflict
3	neutral
5	respect
0	social_support
0	social_support
6	knowledge
3	neutral
3	neutral
3	neutral
1	conflict
6	knowledge
1	conflict
3	neutral
5	respect
3	neutral
0	social_support
3	neutral
1	conflict
5	respect
5	respect
0	social_support
1	conflict
5	respect
3	neutral
1	conflict
0	social_support
2	trust
6	knowledge
5	respect
3	neutral
6	knowledge
5	respect
0	social_support
1	conflict
3	neutral
3	neutral
0	social_support
1	conflict
